NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0755E-03,-4.00642E-03,567.661,936.940E+03
2,29.1596E-03,-4.00641E-03,568.192,440.983E+03
3,26.2436E-03,-4.00641E-03,568.411,-266.618E+03
4,23.3277E-03,-4.00641E-03,568.504,-585.383E+03
5,20.4117E-03,-4.00641E-03,568.530,-677.414E+03
6,17.4957E-03,-4.00641E-03,568.510,-714.637E+03
7,14.5798E-03,-4.00642E-03,568.463,-765.735E+03
8,11.6638E-03,-4.00643E-03,568.390,-928.128E+03
9,8.74786E-03,-4.00644E-03,568.296,-1.18781E+06
10,5.83191E-03,-4.00645E-03,568.220,-1.40256E+06
11,2.91595E-03,-4.00646E-03,568.179,-1.61269E+06
12,-2.14350E-36,-4.00646E-03,568.157,-1.79588E+06
13,32.0755E-03,-7.34761E-03,567.808,862.330E+03
14,29.1596E-03,-7.34761E-03,568.042,544.388E+03
15,26.2436E-03,-7.34761E-03,568.212,34.5511E+03
16,23.3277E-03,-7.34761E-03,568.298,-287.560E+03
17,20.4117E-03,-7.34761E-03,568.318,-407.801E+03
18,17.4957E-03,-7.34761E-03,568.296,-477.028E+03
19,14.5798E-03,-7.34762E-03,568.247,-562.301E+03
20,11.6638E-03,-7.34763E-03,568.184,-596.949E+03
21,8.74787E-03,-7.34763E-03,568.119,-622.382E+03
22,5.83191E-03,-7.34764E-03,568.064,-684.676E+03
23,2.91596E-03,-7.34764E-03,568.027,-724.22E+03
24,-114.767E-36,-7.34765E-03,568.011,-682.729E+03
25,32.0755E-03,-10.6888E-03,567.823,1.07192E+06
26,29.1596E-03,-10.6888E-03,567.870,892.081E+03
27,26.2436E-03,-10.6888E-03,567.991,556.468E+03
28,23.3276E-03,-10.6888E-03,568.056,322.475E+03
29,20.4117E-03,-10.6888E-03,568.070,234.896E+03
30,17.4957E-03,-10.6888E-03,568.045,264.004E+03
31,14.5798E-03,-10.6888E-03,567.998,352.112E+03
32,11.6638E-03,-10.6888E-03,567.941,456.264E+03
33,8.74787E-03,-10.6888E-03,567.886,553.011E+03
34,5.83191E-03,-10.6888E-03,567.840,633.237E+03
35,2.91596E-03,-10.6888E-03,567.809,696.958E+03
36,-32.8724E-36,-10.6888E-03,567.795,764.417E+03
37,32.0755E-03,-14.0300E-03,567.309,1.35611E+06
38,29.1596E-03,-14.0300E-03,567.613,1.21455E+06
39,26.2436E-03,-14.0300E-03,567.717,966.355E+03
40,23.3276E-03,-14.0300E-03,567.774,808.742E+03
41,20.4117E-03,-14.0300E-03,567.784,762.174E+03
42,17.4957E-03,-14.0300E-03,567.759,809.073E+03
43,14.5798E-03,-14.0300E-03,567.712,911.887E+03
44,11.6638E-03,-14.0300E-03,567.657,1.03345E+06
45,8.74787E-03,-14.0300E-03,567.604,1.14993E+06
46,5.83191E-03,-14.0300E-03,567.561,1.26046E+06
47,2.91596E-03,-14.0300E-03,567.532,1.33617E+06
48,-10.1506E-33,-14.0300E-03,567.519,1.39640E+06
