id,x,y
1,0.021843914,0.013662309
2,0.020933433,0.012848005
3,0.019975089,0.012054985
4,0.019082025,0.011369915
5,0.018132791,0.010694162
6,0.017007267,0.009957485
7,0.016026845,0.009368771
8,0.014910991,0.008754679
9,0.013863965,0.008229395
10,0.012940954,0.007805058
11,0.011669418,0.007276978
12,0.010549238,0.006863537
13,0.009329407,0.006466087
14,0.00834448,0.00618391
15,0.007295836,0.005920378
16,0.00579287,0.005607193
17,0.004582954,0.005408945
18,0.003735302,0.005298138
19,0.002400244,0.005169892
20,0.000986797,0.005095176
21,0.022702107,0.01449
22,0,0.00508
23,0,0.004064
24,0,0.003048
25,0,0.002032
26,0,0.001016
27,0,0
28,0.027335908,0.006580253
29,0.026223851,0.006026364
30,0.025084455,0.00548818
31,0.024029691,0.005015674
32,0.022788644,0.004490484
33,0.021638935,0.004032857
34,0.020501368,0.003606748
35,0.019416358,0.003224508
36,0.018218454,0.002829343
37,0.017125379,0.002492867
38,0.015938111,0.002152977
39,0.014648535,0.001813453
40,0.013537388,0.00154527
41,0.012350478,0.001283347
42,0.011082837,0.001031236
43,0.009729273,0.00079314
44,0.00865447,0.000626707
45,0.007525956,0.000473315
46,0.006341343,0.000335652
47,0.005098206,0.000216736
48,0.003794104,0.00011994
49,0.002426598,4.90E-05
50,0.000993278,8.21E-06
51,0.028425001,0.007150965
52,0.028625,0.007350965
53,0.028625,0.011999937
54,0.028625,0.010693136
55,0.028625,0.009647829
56,0.028625,0.008341028
57,0.028625,0.01299
58,0.027897438,0.013717562
59,0.027124999,0.01449
60,0.023869112,0.01449
61,0.024913553,0.01449
62,0.025957994,0.01449
63,0.027659062,0.008589726
64,0.027786754,0.012683105
65,0.022547182,0.013679943
66,0.023394153,0.013579628
67,0.024368895,0.01364399
68,0.025158821,0.013567438
69,0.026168158,0.013594966
70,0.026769811,0.013586434
71,0.027806094,0.013631175
72,0.021691166,0.012804559
73,0.022586359,0.012848171
74,0.023549942,0.012729532
75,0.024336677,0.012716036
76,0.02528394,0.012795213
77,0.026127929,0.012733072
78,0.026808193,0.012843127
79,0.019954458,0.011903658
80,0.020799993,0.011920243
81,0.021646554,0.011943639
82,0.022552254,0.01191724
83,0.023538549,0.011947288
84,0.024436086,0.011923687
85,0.025115959,0.011964507
86,0.02586017,0.011943053
87,0.026759518,0.012123053
88,0.027667958,0.011991481
89,0.019120436,0.011092009
90,0.019974258,0.011019521
91,0.020839175,0.011021362
92,0.02163372,0.011143534
93,0.022595087,0.011073073
94,0.024330651,0.01111708
95,0.025036311,0.011166371
96,0.025987124,0.010962646
97,0.026963707,0.010937818
98,0.02790999,0.010942379
99,0.018154938,0.010186074
100,0.019069633,0.010240316
101,0.020002043,0.010197761
102,0.020798801,0.010170392
103,0.021676114,0.010238695
104,0.022683915,0.010272574
105,0.023405189,0.010306722
106,0.024259117,0.01015726
107,0.025133822,0.010175571
108,0.025993599,0.010233162
109,0.027019203,0.01019621
110,0.027902871,0.01006219
111,0.016643286,0.009498733
112,0.017279286,0.009335424
113,0.018333389,0.009334292
114,0.018992158,0.009367641
115,0.019913966,0.009363219
116,0.020780919,0.009324245
117,0.021677304,0.00926097
118,0.022510029,0.009389264
119,0.023433797,0.009374087
120,0.02427797,0.009431846
121,0.025195936,0.009419471
122,0.026105048,0.00941901
123,0.026841613,0.009395122
124,0.027704548,0.009184455
125,0.015784813,0.008576276
126,0.016377734,0.008461939
127,0.017237919,0.008449946
128,0.018264106,0.008507005
129,0.019091094,0.008488225
130,0.020028636,0.008487228
131,0.020815997,0.008484995
132,0.021722002,0.008567683
133,0.022606839,0.008461003
134,0.023460913,0.008609206
135,0.024327528,0.008522042
136,0.025151452,0.008608582
137,0.026047312,0.008643776
138,0.01380604,0.007731129
139,0.01488958,0.007602656
140,0.015640853,0.007563782
141,0.016378338,0.007495081
142,0.017468995,0.007810771
143,0.018378705,0.007623245
144,0.019149603,0.007715419
145,0.019988546,0.007620771
146,0.020820456,0.007601437
147,0.021649825,0.007680178
148,0.022594856,0.007636265
149,0.023458052,0.007604789
150,0.024366994,0.00765322
151,0.025151731,0.007633883
152,0.026022356,0.007649737
153,0.026850244,0.007695592
154,0.0278029,0.007691514
155,0.011451745,0.006856158
156,0.012363757,0.006795767
157,0.013028282,0.006774202
158,0.01387348,0.006785812
159,0.014670058,0.006706092
160,0.015602859,0.0068828
161,0.016352141,0.006792783
162,0.018277485,0.006761202
163,0.018967714,0.006842089
164,0.020018783,0.006876674
165,0.020826608,0.006746269
166,0.021659639,0.006823476
167,0.022534728,0.006780996
168,0.023422916,0.006785433
169,0.024254652,0.006837681
170,0.025114851,0.006798845
171,0.026051093,0.006818414
172,0.02690343,0.006828316
173,0.0087423,0.005983568
174,0.009442199,0.005909306
175,0.010391413,0.0059418
176,0.011238426,0.005918021
177,0.012310758,0.005926466
178,0.01305611,0.006053866
179,0.013881748,0.005886111
180,0.014711273,0.005965823
181,0.015514612,0.005944567
182,0.016378906,0.005871708
183,0.017333835,0.005976954
184,0.018164462,0.005904095
185,0.019041657,0.005914554
186,0.019952072,0.005974978
187,0.020787735,0.005927534
188,0.021698777,0.006053197
189,0.02245838,0.005889307
190,0.023454513,0.005998318
191,0.024284586,0.006019635
