NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0332E-03,-4.01987E-03,264.828,1.04016E+06
2,29.1210E-03,-4.01976E-03,264.829,536.356E+03
3,26.2089E-03,-4.01970E-03,264.804,-1.70287E+06
4,23.2967E-03,-4.01967E-03,264.777,-693.411E+03
5,20.3846E-03,-4.01965E-03,264.740,1.12766E+06
6,17.4725E-03,-4.01965E-03,264.683,2.30023E+06
7,14.5604E-03,-4.01966E-03,264.596,2.89964E+06
8,11.6483E-03,-4.01967E-03,264.274,3.31966E+06
9,8.73623E-03,-4.01968E-03,263.747,3.83519E+06
10,5.82415E-03,-4.01968E-03,263.404,4.21890E+06
11,2.91207E-03,-4.01969E-03,263.325,4.34763E+06
12,-95.1061E-42,-4.01969E-03,263.245,4.23108E+06
13,32.0330E-03,-7.35668E-03,261.643,1.63726E+06
14,29.1209E-03,-7.35658E-03,261.637,1.19913E+06
15,26.2088E-03,-7.35653E-03,261.619,2.05970E+06
16,23.2967E-03,-7.35652E-03,261.588,2.87777E+06
17,20.3846E-03,-7.35652E-03,261.540,3.23741E+06
18,17.4725E-03,-7.35653E-03,261.468,3.48848E+06
19,14.5604E-03,-7.35653E-03,261.341,3.59325E+06
20,11.6483E-03,-7.35654E-03,261.151,3.66507E+06
21,8.73623E-03,-7.35654E-03,260.926,3.88810E+06
22,5.82415E-03,-7.35655E-03,260.721,4.13241E+06
23,2.91208E-03,-7.35655E-03,260.589,4.21397E+06
24,-684.393E-39,-7.35655E-03,260.548,4.12937E+06
25,32.0329E-03,-10.6934E-03,257.852,4.79902E+06
26,29.1208E-03,-10.6933E-03,257.847,4.59977E+06
27,26.2087E-03,-10.6933E-03,257.828,7.92061E+06
28,23.2966E-03,-10.6933E-03,257.795,9.22981E+06
29,20.3846E-03,-10.6933E-03,257.744,9.7432E+06
30,17.4725E-03,-10.6933E-03,257.669,9.98077E+06
31,14.5604E-03,-10.6933E-03,257.564,10.2477E+06
32,11.6483E-03,-10.6933E-03,257.432,10.4322E+06
33,8.73624E-03,-10.6933E-03,257.289,10.5923E+06
34,5.82416E-03,-10.6933E-03,257.160,10.7170E+06
35,2.91208E-03,-10.6933E-03,257.069,10.7939E+06
36,-171.117E-39,-10.6933E-03,257.026,10.8081E+06
37,32.0328E-03,-14.0300E-03,253.469,6.42439E+06
38,29.1207E-03,-14.0300E-03,253.463,7.09617E+06
39,26.2087E-03,-14.0300E-03,253.445,11.1493E+06
40,23.2966E-03,-14.0300E-03,253.412,13.3535E+06
41,20.3845E-03,-14.0300E-03,253.361,14.6617E+06
42,17.4725E-03,-14.0300E-03,253.288,15.4709E+06
43,14.5604E-03,-14.0300E-03,253.192,16.0507E+06
44,11.6483E-03,-14.0300E-03,253.078,16.6789E+06
45,8.73624E-03,-14.0300E-03,252.959,17.0578E+06
46,5.82416E-03,-14.0300E-03,252.852,17.2747E+06
47,2.91208E-03,-14.0300E-03,252.776,17.3889E+06
48,-1.13812E-33,-14.0300E-03,252.742,17.4362E+06
