NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0748E-03,40.4700E-03,565.631,1.28081E+06
2,29.1588E-03,40.4700E-03,565.286,1.28766E+06
3,26.2429E-03,40.4700E-03,564.344,3.44412E+06
4,23.3270E-03,40.4700E-03,563.068,5.40156E+06
5,20.4110E-03,40.4700E-03,561.729,7.21324E+06
6,17.4952E-03,40.4700E-03,560.453,8.82559E+06
7,14.5793E-03,40.4700E-03,559.303,10.2027E+06
8,11.6634E-03,40.4700E-03,558.314,11.3020E+06
9,8.74754E-03,40.4700E-03,557.511,12.1027E+06
10,5.83169E-03,40.4700E-03,556.915,12.6196E+06
11,2.91584E-03,40.4700E-03,556.539,12.9149E+06
12,-1.22796E-30,40.4700E-03,556.376,13.0435E+06
13,32.0748E-03,37.1289E-03,566.598,807.502E+03
14,29.1588E-03,37.1289E-03,566.095,1.36535E+06
15,26.2429E-03,37.1289E-03,564.862,3.11736E+06
16,23.3270E-03,37.1289E-03,563.477,4.91648E+06
17,20.4110E-03,37.1289E-03,562.093,6.55054E+06
18,17.4951E-03,37.1289E-03,560.793,8.00991E+06
19,14.5793E-03,37.1289E-03,559.625,9.26854E+06
20,11.6634E-03,37.1289E-03,558.620,10.2970E+06
21,8.74753E-03,37.1290E-03,557.800,11.0470E+06
22,5.83168E-03,37.1290E-03,557.187,11.5341E+06
23,2.91584E-03,37.1290E-03,556.798,11.8556E+06
24,3.21470E-33,37.1290E-03,556.628,11.9442E+06
25,32.0748E-03,33.7877E-03,569.520,243.153E+03
26,29.1588E-03,33.7877E-03,567.347,1.51303E+06
27,26.2429E-03,33.7877E-03,565.613,2.76972E+06
28,23.3269E-03,33.7877E-03,564.033,3.99336E+06
29,20.4110E-03,33.7878E-03,562.552,5.19962E+06
30,17.4951E-03,33.7878E-03,561.196,6.21586E+06
31,14.5792E-03,33.7878E-03,559.989,7.07134E+06
32,11.6634E-03,33.7879E-03,558.937,7.81359E+06
33,8.74751E-03,33.7879E-03,558.062,8.48235E+06
34,5.83167E-03,33.7879E-03,557.386,8.99973E+06
35,2.91583E-03,33.7879E-03,556.951,9.36684E+06
36,7.68802E-33,33.7879E-03,556.763,9.58131E+06
37,32.0748E-03,30.4465E-03,570.686,742.677E+03
38,29.1588E-03,30.4465E-03,568.074,2.26444E+06
39,26.2428E-03,30.4465E-03,566.292,3.28814E+06
40,23.3269E-03,30.4466E-03,564.609,3.98333E+06
41,20.4110E-03,30.4466E-03,563.049,4.74451E+06
42,17.4951E-03,30.4467E-03,561.628,5.39264E+06
43,14.5792E-03,30.4467E-03,560.388,5.84571E+06
44,11.6633E-03,30.4468E-03,559.306,6.28632E+06
45,8.74748E-03,30.4468E-03,558.260,6.95286E+06
46,5.83165E-03,30.4469E-03,557.431,7.69388E+06
47,2.91582E-03,30.4469E-03,556.925,8.23352E+06
48,1.65091E-36,30.4469E-03,556.706,8.66592E+06
