NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,9.02031E-03,14.6732E-03,546.125,-4.07817E+06
2,9.02024E-03,21.6891E-03,543.616,4.44596E+06
3,11.0247E-03,21.6891E-03,543.435,5.85831E+06
4,11.0247E-03,29.7069E-03,534.989,25.0934E+06
5,367.805E-12,29.7070E-03,532.890,30.9136E+06
6,367.805E-12,11.7666E-03,548.175,-2.00251E+06
7,8.01816E-03,11.6664E-03,547.449,553.954E+03
8,9.02042E-03,11.6664E-03,547.383,804.921E+03
11,9.02028E-03,15.5098E-03,545.818,-5.70820E+06
12,9.02028E-03,16.4576E-03,545.616,-2.97640E+06
13,9.02027E-03,17.5316E-03,545.299,-1.18910E+06
14,9.02026E-03,18.7484E-03,544.884,372.661E+03
15,9.02025E-03,20.1270E-03,544.306,1.93798E+06
16,11.0247E-03,23.6936E-03,541.771,8.57456E+06
17,11.0247E-03,26.3050E-03,539.311,18.1921E+06
18,7.34980E-03,29.7070E-03,533.457,26.7927E+06
19,3.67490E-03,29.7070E-03,533.144,29.7028E+06
20,367.805E-12,26.5186E-03,538.355,21.4540E+06
21,367.805E-12,23.8672E-03,541.567,9.32234E+06
22,367.805E-12,21.6623E-03,543.872,6.09504E+06
23,367.805E-12,19.8288E-03,545.116,4.86221E+06
24,367.805E-12,18.3041E-03,546.056,3.76796E+06
25,367.805E-12,17.0363E-03,546.667,2.83388E+06
26,367.805E-12,15.9820E-03,547.114,1.88405E+06
27,367.805E-12,15.1052E-03,547.423,918.834E+03
28,367.805E-12,14.3762E-03,547.646,48.7474E+03
29,367.805E-12,13.7699E-03,547.806,-667.595E+03
30,367.805E-12,13.2658E-03,547.922,-1.18898E+06
31,367.805E-12,12.8466E-03,548.006,-1.56659E+06
32,367.805E-12,12.4980E-03,548.069,-1.85993E+06
33,367.805E-12,12.2081E-03,548.115,-1.85404E+06
34,367.805E-12,11.9670E-03,548.150,-1.89630E+06
35,200.474E-06,11.7665E-03,548.175,-1.98199E+06
36,400.950E-06,11.7663E-03,548.173,-2.10537E+06
37,601.421E-06,11.7660E-03,548.170,-2.17935E+06
38,801.897E-06,11.7656E-03,548.166,-2.10418E+06
39,1.00237E-03,11.7650E-03,548.161,-2.00706E+06
40,1.20284E-03,11.7643E-03,548.155,-2.12757E+06
41,1.40331E-03,11.7635E-03,548.148,-2.07188E+06
42,1.60379E-03,11.7626E-03,548.140,-2.03951E+06
43,1.80426E-03,11.7615E-03,548.131,-2.09261E+06
44,2.00473E-03,11.7603E-03,548.120,-2.01119E+06
45,2.20520E-03,11.7590E-03,548.109,-2.04847E+06
46,2.40567E-03,11.7576E-03,548.097,-1.99384E+06
47,2.60614E-03,11.7560E-03,548.083,-2.02253E+06
48,2.80661E-03,11.7543E-03,548.069,-1.97349E+06
49,3.00707E-03,11.7525E-03,548.053,-2.08172E+06
50,3.20754E-03,11.7505E-03,548.036,-2.00432E+06
51,3.40800E-03,11.7485E-03,548.019,-1.96613E+06
52,3.60846E-03,11.7463E-03,548.001,-1.95229E+06
53,3.80892E-03,11.7440E-03,547.981,-1.91753E+06
54,4.00938E-03,11.7415E-03,547.961,-1.97327E+06
55,4.20984E-03,11.7390E-03,547.939,-1.83175E+06
56,4.41030E-03,11.7363E-03,547.917,-1.89101E+06
57,4.61075E-03,11.7334E-03,547.894,-1.88153E+06
58,4.81121E-03,11.7305E-03,547.870,-1.81905E+06
59,5.01166E-03,11.7274E-03,547.845,-1.78323E+06
60,5.21211E-03,11.7242E-03,547.819,-1.67120E+06
61,5.41255E-03,11.7209E-03,547.793,-1.65403E+06
62,5.61300E-03,11.7175E-03,547.766,-1.56312E+06
63,5.81344E-03,11.7139E-03,547.739,-1.37535E+06
64,6.01389E-03,11.7102E-03,547.711,-1.22028E+06
65,6.21432E-03,11.7064E-03,547.682,-935.225E+03
66,6.41476E-03,11.7025E-03,547.656,-383.717E+03
67,6.61519E-03,11.6984E-03,547.628,72.3923E+03
68,6.81563E-03,11.6942E-03,547.600,104.410E+03
69,7.01605E-03,11.6899E-03,547.572,232.562E+03
70,7.21649E-03,11.6854E-03,547.547,427.45E+03
71,7.41690E-03,11.6809E-03,547.518,503.449E+03
72,7.61733E-03,11.6762E-03,547.500,388.106E+03
73,7.81774E-03,11.6714E-03,547.468,-89.5256E+03
74,8.21861E-03,11.6664E-03,547.419,1.05577E+06
75,8.53164E-03,11.6664E-03,547.416,707.459E+03
76,9.02043E-03,12.1676E-03,547.388,533.738E+03
77,9.02039E-03,12.8081E-03,547.220,1.44594E+06
78,9.02039E-03,13.6268E-03,547.075,938.995E+03
100,8.03531E-03,11.9229E-03,547.425,638.213E+03
101,7.61937E-03,12.0700E-03,547.458,-103.130E+03
102,8.23753E-03,12.0363E-03,547.411,432.983E+03
103,8.42804E-03,12.8169E-03,547.300,949.266E+03
104,8.30045E-03,15.4561E-03,546.177,-3.12455E+06
105,761.949E-06,15.2762E-03,547.357,984.114E+03
106,8.19037E-03,16.3972E-03,545.906,-2.24370E+06
107,8.40204E-03,14.5873E-03,546.561,-1.69215E+06
108,890.349E-06,16.1539E-03,547.031,1.93511E+06
109,8.05997E-03,17.4409E-03,545.597,-873.049E+03
110,7.90403E-03,18.5938E-03,545.180,464.636E+03
111,1.02675E-03,17.1989E-03,546.583,2.84943E+06
112,7.70317E-03,19.8538E-03,544.657,1.89195E+06
113,1.15678E-03,18.4302E-03,545.950,3.72276E+06
114,7.39604E-03,21.2022E-03,543.848,3.53590E+06
115,1.30268E-03,19.8749E-03,545.096,4.69349E+06
116,2.87357E-03,12.0560E-03,548.024,-1.90489E+06
117,3.99634E-03,11.9927E-03,547.930,-1.84411E+06
118,7.25707E-03,11.9722E-03,547.513,-216.350E+03
119,3.40249E-03,11.9407E-03,547.995,-1.89869E+06
120,5.59745E-03,12.0357E-03,547.731,-1.38088E+06
121,6.60584E-03,12.0579E-03,547.590,-503.457E+03
122,5.19670E-03,12.0107E-03,547.787,-1.51765E+06
123,2.44812E-03,12.0525E-03,548.055,-1.95256E+06
124,834.807E-06,11.9648E-03,548.139,-2.05324E+06
125,1.63866E-03,11.9974E-03,548.107,-2.04127E+06
126,4.39282E-03,12.0098E-03,547.885,-1.75315E+06
127,6.02222E-03,11.9806E-03,547.680,-1.08402E+06
128,3.79929E-03,11.9802E-03,547.952,-1.86176E+06
129,3.10859E-03,12.0492E-03,548.006,-1.93911E+06
130,5.39064E-03,12.0420E-03,547.758,-1.41822E+06
131,5.81665E-03,12.0111E-03,547.704,-1.26471E+06
132,6.83104E-03,12.0592E-03,547.560,-272.493E+03
133,458.856E-06,13.4051E-03,547.887,-1.14987E+06
134,542.205E-06,13.9197E-03,547.763,-611.633E+03
135,8.46166E-03,13.6744E-03,546.935,841.964E+03
136,642.449E-06,14.5393E-03,547.591,126.127E+03
137,7.35152E-03,16.2119E-03,546.221,-223.920E+03
138,7.57772E-03,15.3111E-03,546.502,141.267E+03
139,1.76969E-03,16.1293E-03,547.011,1.97602E+06
140,7.08285E-03,17.1985E-03,545.917,133.281E+03
141,6.77628E-03,18.2633E-03,545.538,991.801E+03
142,2.07483E-03,17.1606E-03,546.557,2.81799E+06
143,6.44875E-03,19.3888E-03,545.015,2.06601E+06
144,2.36423E-03,18.3736E-03,545.938,3.53486E+06
145,6.08263E-03,20.5690E-03,544.369,3.32627E+06
146,6.75882E-03,22.6269E-03,542.830,5.72004E+06
147,2.50374E-03,19.6915E-03,545.147,4.19094E+06
148,5.15510E-03,12.2638E-03,547.756,-1.30613E+06
149,1.24723E-03,11.9934E-03,548.124,-2.08053E+06
150,830.196E-06,12.1521E-03,548.113,-2.02675E+06
151,2.03480E-03,12.0129E-03,548.085,-1.98491E+06
152,4.78551E-03,12.2796E-03,547.800,-1.36620E+06
153,5.84955E-03,12.2993E-03,547.660,-1.01470E+06
154,2.66057E-03,12.0726E-03,548.037,-1.91197E+06
155,2.90883E-03,12.3272E-03,547.980,-1.79970E+06
156,542.635E-06,12.0611E-03,548.132,-2.10894E+06
157,301.348E-06,12.3079E-03,548.098,-1.94325E+06
158,5.59798E-03,12.3705E-03,547.682,-1.00547E+06
159,336.925E-06,12.6117E-03,548.047,-1.80818E+06
160,4.79712E-03,12.0067E-03,547.838,-1.68430E+06
161,4.17137E-03,12.2881E-03,547.870,-1.53704E+06
162,3.56901E-03,12.1847E-03,547.945,-1.76367E+06
163,6.34959E-03,12.0889E-03,547.621,-762.725E+03
164,7.12451E-03,12.3521E-03,547.479,-384.137E+03
165,7.91261E-03,13.0105E-03,547.242,1.16354E+06
166,389.661E-06,12.9735E-03,547.979,-1.53683E+06
167,1.07705E-03,13.9554E-03,547.741,-527.258E+03
168,1.26874E-03,14.5598E-03,547.569,210.590E+03
169,7.77704E-03,14.4725E-03,546.759,445.174E+03
170,6.54349E-03,15.9162E-03,546.529,1.26960E+06
171,6.14180E-03,16.8239E-03,546.258,1.41283E+06
172,1.49804E-03,15.2776E-03,547.332,1.07548E+06
173,2.57939E-03,15.9071E-03,547.047,1.88558E+06
174,5.67318E-03,17.7993E-03,545.912,1.85792E+06
175,5.21068E-03,18.8377E-03,545.459,2.57008E+06
176,3.07994E-03,16.8884E-03,546.614,2.60801E+06
177,4.88054E-03,19.9845E-03,544.813,3.38586E+06
178,5.57311E-03,21.7214E-03,543.554,4.66896E+06
179,3.79350E-03,18.1868E-03,545.937,3.04132E+06
180,2.84461E-03,21.0530E-03,544.195,4.72577E+06
181,8.49757E-03,23.5988E-03,542.031,7.53777E+06
182,601.848E-06,12.3666E-03,548.084,-1.95477E+06
183,2.24123E-03,12.2750E-03,548.035,-1.85567E+06
184,4.96839E-03,12.6520E-03,547.717,-878.674E+03
185,1.48177E-03,12.2423E-03,548.078,-1.98607E+06
186,1.86045E-03,12.2442E-03,548.061,-1.90944E+06
187,873.076E-06,12.3921E-03,548.075,-1.96501E+06
188,2.70672E-03,12.4544E-03,547.975,-1.69139E+06
189,3.92806E-03,12.5768E-03,547.848,-1.29166E+06
190,7.77873E-03,12.5145E-03,547.392,825.544E+03
191,3.13545E-03,12.4264E-03,547.947,-1.65845E+06
192,5.31263E-03,12.4427E-03,547.709,-1.02643E+06
193,784.955E-06,13.0247E-03,547.962,-1.48932E+06
194,4.36441E-03,12.6180E-03,547.794,-1.11395E+06
195,5.67903E-03,12.7012E-03,547.616,-637.029E+03
196,6.86216E-03,12.5145E-03,547.488,-811.246E+03
197,917.084E-06,13.4535E-03,547.867,-1.08694E+06
198,7.90759E-03,13.6792E-03,547.047,550.093E+03
199,1.55772E-03,13.8902E-03,547.741,-522.191E+03
200,1.83046E-03,14.4548E-03,547.575,181.602E+03
201,5.82700E-03,15.5508E-03,546.798,1.57827E+06
202,6.87686E-03,15.0683E-03,546.760,979.344E+03
203,5.30310E-03,16.3277E-03,546.593,1.99016E+06
204,2.16947E-03,15.1198E-03,547.352,1.02821E+06
205,3.89691E-03,16.3207E-03,546.771,2.22743E+06
206,4.48004E-03,21.0989E-03,544.107,4.25568E+06
207,5.35741E-03,23.8792E-03,541.620,8.04737E+06
208,6.42144E-03,12.4960E-03,547.551,-948.156E+03
209,4.77653E-03,12.5177E-03,547.763,-1.05513E+06
210,6.12984E-03,12.6689E-03,547.560,-708.325E+03
211,3.37533E-03,12.6647E-03,547.885,-1.36668E+06
212,991.740E-06,12.6547E-03,548.027,-1.75986E+06
213,2.06219E-03,12.4952E-03,548.010,-1.81568E+06
214,1.55830E-03,12.5042E-03,548.033,-1.81165E+06
215,1.28678E-03,12.5490E-03,548.036,-1.78951E+06
216,2.33818E-03,12.5787E-03,547.979,-1.64263E+06
217,7.48833E-03,12.5931E-03,547.393,462.076E+03
218,3.85867E-03,12.9309E-03,547.790,-899.976E+03
219,1.15441E-03,12.9982E-03,547.957,-1.47686E+06
220,5.40822E-03,12.8524E-03,547.624,-547.366E+03
221,7.49363E-03,13.0202E-03,547.302,43.9982E+03
222,7.38142E-03,13.5808E-03,547.154,49.1237E+03
223,1.33760E-03,13.4129E-03,547.863,-1.06582E+06
224,2.30504E-03,14.2421E-03,547.608,46.4181E+03
225,6.21803E-03,14.7231E-03,547.013,1.09510E+06
226,5.22462E-03,15.1106E-03,547.046,1.43267E+06
227,2.75284E-03,14.8149E-03,547.410,814.148E+03
228,4.66221E-03,17.1836E-03,546.327,2.40093E+06
229,3.29930E-03,15.4886E-03,547.143,1.61847E+06
230,3.75198E-03,22.1949E-03,543.257,5.42526E+06
231,1.67580E-03,21.6077E-03,543.798,5.64639E+06
232,2.96270E-03,12.7134E-03,547.911,-1.40011E+06
233,7.12225E-03,12.8757E-03,547.379,-877.696E+03
234,4.38092E-03,12.9771E-03,547.726,-666.457E+03
235,2.12128E-03,12.7221E-03,547.966,-1.60023E+06
236,5.09930E-03,13.0403E-03,547.626,-426.501E+03
237,1.79804E-03,12.7768E-03,547.974,-1.57731E+06
238,1.48651E-03,12.9092E-03,547.963,-1.49919E+06
239,2.53128E-03,12.7607E-03,547.934,-1.44961E+06
240,3.21790E-03,12.9313E-03,547.849,-1.12253E+06
241,6.33691E-03,13.0530E-03,547.454,-395.963E+03
242,5.84919E-03,12.9985E-03,547.535,-360.256E+03
243,7.18451E-03,14.2867E-03,546.971,452.383E+03
244,1.96285E-03,13.7470E-03,547.757,-584.930E+03
245,6.68690E-03,14.0372E-03,547.140,442.689E+03
246,5.63766E-03,14.6963E-03,547.115,1.27578E+06
247,2.66969E-03,13.9445E-03,547.663,-191.392E+03
248,4.59168E-03,15.6721E-03,546.939,1.80363E+06
249,3.97698E-03,14.8337E-03,547.294,1.10242E+06
250,4.89424E-03,22.6077E-03,542.896,5.85927E+06
251,4.76615E-03,13.2450E-03,547.624,-309.132E+03
252,2.77248E-03,13.0033E-03,547.870,-1.16250E+06
253,6.89112E-03,13.3532E-03,547.302,-269.688E+03
254,3.73670E-03,13.3213E-03,547.721,-535.253E+03
255,5.55148E-03,13.2333E-03,547.525,-185.690E+03
256,6.05290E-03,13.3492E-03,547.427,-99.1429E+03
