NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0306E-03,-4.02064E-03,246.076,960.337E+03
2,29.1187E-03,-4.02054E-03,246.077,495.099E+03
3,26.2068E-03,-4.02049E-03,246.054,-1.57250E+06
4,23.2949E-03,-4.02046E-03,246.029,-640.056E+03
5,20.3830E-03,-4.02045E-03,245.995,1.04147E+06
6,17.4711E-03,-4.02045E-03,245.942,2.12414E+06
7,14.5593E-03,-4.02045E-03,245.862,2.67746E+06
8,11.6474E-03,-4.02046E-03,245.566,3.06507E+06
9,8.73554E-03,-4.02047E-03,245.079,3.54083E+06
10,5.82369E-03,-4.02047E-03,244.763,3.89487E+06
11,2.91184E-03,-4.02048E-03,244.689,4.01354E+06
12,-84.4941E-42,-4.02048E-03,244.616,3.90592E+06
13,32.0305E-03,-7.35719E-03,243.136,1.51169E+06
14,29.1186E-03,-7.35709E-03,243.129,1.10708E+06
15,26.2067E-03,-7.35705E-03,243.113,1.90176E+06
16,23.2948E-03,-7.35704E-03,243.084,2.65725E+06
17,20.3830E-03,-7.35704E-03,243.041,2.98941E+06
18,17.4711E-03,-7.35705E-03,242.974,3.22126E+06
19,14.5593E-03,-7.35705E-03,242.857,3.31791E+06
20,11.6474E-03,-7.35706E-03,242.681,3.38404E+06
21,8.73555E-03,-7.35706E-03,242.473,3.58973E+06
22,5.82370E-03,-7.35707E-03,242.285,3.81509E+06
23,2.91185E-03,-7.35707E-03,242.163,3.89024E+06
24,-631.766E-39,-7.35707E-03,242.125,3.81212E+06
25,32.0303E-03,-10.6937E-03,239.635,4.43115E+06
26,29.1185E-03,-10.6936E-03,239.630,4.24738E+06
27,26.2066E-03,-10.6936E-03,239.613,7.31370E+06
28,23.2948E-03,-10.6936E-03,239.583,8.52259E+06
29,20.3830E-03,-10.6936E-03,239.536,8.99663E+06
30,17.4711E-03,-10.6936E-03,239.466,9.21578E+06
31,14.5593E-03,-10.6936E-03,239.369,9.46198E+06
32,11.6474E-03,-10.6936E-03,239.247,9.63220E+06
33,8.73555E-03,-10.6936E-03,239.115,9.77992E+06
34,5.82370E-03,-10.6936E-03,238.996,9.89495E+06
35,2.91185E-03,-10.6936E-03,238.913,9.96591E+06
36,-157.986E-39,-10.6936E-03,238.873,9.97900E+06
37,32.0303E-03,-14.0300E-03,235.588,5.93194E+06
38,29.1184E-03,-14.0300E-03,235.582,6.55268E+06
39,26.2066E-03,-14.0300E-03,235.566,10.2952E+06
40,23.2948E-03,-14.0300E-03,235.535,12.3303E+06
41,20.3829E-03,-14.0300E-03,235.488,13.5382E+06
42,17.4711E-03,-14.0300E-03,235.421,14.2852E+06
43,14.5593E-03,-14.0300E-03,235.333,14.8198E+06
44,11.6474E-03,-14.0300E-03,235.228,15.3998E+06
45,8.73555E-03,-14.0300E-03,235.117,15.7497E+06
46,5.82370E-03,-14.0300E-03,235.019,15.9498E+06
47,2.91185E-03,-14.0300E-03,234.949,16.0554E+06
48,-1.05070E-33,-14.0300E-03,234.917,16.0990E+06
