NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,9.02125E-03,14.6906E-03,568.826,-988.188E+03
2,9.02128E-03,21.7071E-03,568.790,986.436E+03
3,11.0260E-03,21.7070E-03,568.860,1.03527E+06
4,11.0260E-03,29.7259E-03,568.434,2.03516E+06
9,32.0757E-03,14.6904E-03,569.295,151.473E+03
10,32.0756E-03,29.7259E-03,568.546,796.353E+03
11,9.02126E-03,15.5272E-03,568.855,-391.949E+03
12,9.02127E-03,16.4751E-03,568.859,148.678E+03
13,9.02127E-03,17.5492E-03,568.860,353.800E+03
14,9.02127E-03,18.7661E-03,568.850,681.259E+03
15,9.02128E-03,20.1449E-03,568.832,867.208E+03
16,11.0260E-03,23.7118E-03,568.788,1.21922E+06
17,11.0260E-03,26.3235E-03,568.667,1.68463E+06
79,10.0236E-03,14.6905E-03,568.894,-156.045E+03
80,11.1383E-03,14.6905E-03,568.930,243.036E+03
81,12.3779E-03,14.6905E-03,568.978,41.8605E+03
82,13.7565E-03,14.6905E-03,569.027,212.628E+03
83,15.2896E-03,14.6905E-03,569.083,246.022E+03
84,16.9945E-03,14.6905E-03,569.145,419.513E+03
85,18.8904E-03,14.6904E-03,569.210,562.362E+03
86,20.9989E-03,14.6904E-03,569.274,644.835E+03
87,23.3436E-03,14.6904E-03,569.321,618.488E+03
88,25.9511E-03,14.6904E-03,569.340,454.536E+03
89,28.8509E-03,14.6904E-03,569.241,243.503E+03
90,32.0756E-03,17.6975E-03,568.974,202.967E+03
91,32.0756E-03,20.7046E-03,568.794,317.715E+03
92,32.0756E-03,23.7117E-03,569.011,387.267E+03
93,32.0756E-03,26.7188E-03,569.020,594.960E+03
94,29.0686E-03,29.7259E-03,568.832,596.736E+03
95,26.0615E-03,29.7259E-03,568.870,353.158E+03
96,23.0544E-03,29.7259E-03,568.855,431.042E+03
97,20.0473E-03,29.7259E-03,568.778,756.870E+03
98,17.0402E-03,29.7259E-03,568.676,1.21612E+06
99,14.0331E-03,29.7259E-03,568.566,1.75327E+06
334,10.4076E-03,17.8067E-03,568.897,511.085E+03
335,12.5362E-03,15.7498E-03,568.980,173.368E+03
336,10.5746E-03,19.0436E-03,568.890,725.868E+03
337,13.8208E-03,16.0048E-03,569.026,268.638E+03
338,15.3980E-03,16.2204E-03,569.082,326.225E+03
339,10.1643E-03,15.6713E-03,568.893,77.6010E+03
340,10.2705E-03,16.6969E-03,568.900,347.085E+03
341,11.3195E-03,15.7038E-03,568.939,320.239E+03
342,13.4662E-03,17.4975E-03,569.002,489.256E+03
343,11.8617E-03,17.8577E-03,568.944,633.354E+03
344,15.3329E-03,17.7823E-03,569.066,494.173E+03
345,17.1048E-03,16.3924E-03,569.143,417.930E+03
346,11.4996E-03,16.7503E-03,568.940,501.687E+03
347,12.4744E-03,16.6158E-03,568.975,382.944E+03
348,14.1872E-03,20.9413E-03,568.966,818.761E+03
349,17.0378E-03,18.2800E-03,569.120,471.503E+03
350,18.9388E-03,16.4980E-03,569.205,479.694E+03
351,12.3330E-03,21.7972E-03,568.885,1.02796E+06
352,12.4524E-03,20.6026E-03,568.920,911.669E+03
353,20.9522E-03,16.5831E-03,569.264,471.669E+03
354,23.1645E-03,16.7658E-03,569.312,386.900E+03
355,13.7398E-03,23.4147E-03,568.877,1.02727E+06
356,16.4899E-03,20.6344E-03,569.056,607.446E+03
357,16.8358E-03,23.5945E-03,568.972,662.303E+03
358,22.7029E-03,18.8821E-03,569.274,100.976E+03
359,13.9353E-03,26.4970E-03,568.741,1.44639E+06
360,25.6230E-03,17.0833E-03,569.320,241.018E+03
361,29.3423E-03,24.0049E-03,569.104,159.839E+03
362,26.6513E-03,19.7367E-03,569.274,-82.4856E+03
363,29.2897E-03,21.1540E-03,569.175,113.012E+03
364,26.3129E-03,26.8986E-03,569.039,164.040E+03
365,23.2381E-03,26.7857E-03,569.018,236.252E+03
366,20.0786E-03,26.5750E-03,568.953,521.830E+03
367,16.9622E-03,26.5566E-03,568.850,957.356E+03
368,20.7510E-03,18.4890E-03,569.236,260.299E+03
369,18.9546E-03,20.6920E-03,569.136,374.773E+03
370,24.8052E-03,19.2866E-03,569.293,-40.1038E+03
371,29.2351E-03,26.8623E-03,568.971,393.815E+03
372,26.5767E-03,24.2048E-03,569.151,-80.9436E+03
373,23.5893E-03,24.0897E-03,569.147,-15.1412E+03
374,20.2218E-03,23.3539E-03,569.096,256.649E+03
375,21.9149E-03,21.0785E-03,569.211,84.8567E+03
376,24.1935E-03,21.6477E-03,569.234,-89.7264E+03
377,20.5401E-03,20.1229E-03,569.197,227.869E+03
378,26.7657E-03,21.7028E-03,569.238,-126.117E+03
379,28.5867E-03,18.0182E-03,569.267,132.976E+03
380,18.8732E-03,18.4616E-03,569.180,397.552E+03
381,10.7603E-03,20.3783E-03,568.871,906.609E+03
382,12.1950E-03,19.1727E-03,568.937,747.175E+03
383,13.7748E-03,19.2026E-03,568.992,694.982E+03
384,15.1370E-03,19.1314E-03,569.038,631.904E+03
