NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0622E-03,-4.01079E-03,478.491,1.46568E+06
2,29.1473E-03,-4.01068E-03,477.197,1.31575E+06
3,26.2325E-03,-4.01062E-03,476.440,-898.794E+03
4,23.3177E-03,-4.01060E-03,475.884,-156.385E+03
5,20.4030E-03,-4.01060E-03,475.413,2.24992E+06
6,17.4882E-03,-4.01062E-03,475.000,3.673E+06
7,14.5735E-03,-4.01064E-03,474.619,4.22137E+06
8,11.6588E-03,-4.01067E-03,474.023,4.38957E+06
9,8.74407E-03,-4.01069E-03,473.207,4.6604E+06
10,5.82938E-03,-4.01071E-03,472.646,4.80124E+06
11,2.91469E-03,-4.01073E-03,472.449,4.64986E+06
12,66.9670E-39,-4.01074E-03,472.311,4.36354E+06
13,32.0620E-03,-7.35066E-03,473.935,1.62436E+06
14,29.1472E-03,-7.35054E-03,473.322,1.59563E+06
15,26.2324E-03,-7.35049E-03,472.701,2.65916E+06
16,23.3177E-03,-7.35049E-03,472.167,4.21621E+06
17,20.4030E-03,-7.35050E-03,471.710,4.93486E+06
18,17.4882E-03,-7.35052E-03,471.295,5.24910E+06
19,14.5735E-03,-7.35053E-03,470.879,5.17241E+06
20,11.6588E-03,-7.35055E-03,470.436,4.87526E+06
21,8.74409E-03,-7.35057E-03,469.998,4.70802E+06
22,5.82939E-03,-7.35058E-03,469.626,4.62074E+06
23,2.91470E-03,-7.35059E-03,469.387,4.36721E+06
24,-6.49008E-36,-7.35060E-03,469.300,4.07938E+06
25,32.0618E-03,-10.6904E-03,468.929,5.44075E+06
26,29.1471E-03,-10.6903E-03,468.748,4.14858E+06
27,26.2324E-03,-10.6903E-03,468.252,8.49515E+06
28,23.3176E-03,-10.6903E-03,467.776,10.8633E+06
29,20.4029E-03,-10.6903E-03,467.341,12.1769E+06
30,17.4882E-03,-10.6903E-03,466.938,12.8721E+06
31,14.5735E-03,-10.6903E-03,466.556,13.2184E+06
32,11.6588E-03,-10.6903E-03,466.190,13.3730E+06
33,8.74410E-03,-10.6903E-03,465.856,13.4636E+06
34,5.82940E-03,-10.6904E-03,465.583,13.5194E+06
35,2.91470E-03,-10.6904E-03,465.401,13.5346E+06
36,-1.74677E-36,-10.6904E-03,465.317,13.5178E+06
37,32.0617E-03,-14.0300E-03,464.423,7.29928E+06
38,29.1470E-03,-14.0300E-03,463.645,5.38568E+06
39,26.2323E-03,-14.0300E-03,463.193,10.7297E+06
40,23.3176E-03,-14.0300E-03,462.745,14.3913E+06
41,20.4029E-03,-14.0300E-03,462.325,16.9740E+06
42,17.4882E-03,-14.0300E-03,461.934,19.0454E+06
43,14.5735E-03,-14.0300E-03,461.567,20.4813E+06
44,11.6588E-03,-14.0300E-03,461.226,21.4433E+06
45,8.74410E-03,-14.0300E-03,460.923,22.0818E+06
46,5.82940E-03,-14.0300E-03,460.679,22.4960E+06
47,2.91470E-03,-14.0300E-03,460.516,22.7475E+06
48,-4.30922E-33,-14.0300E-03,460.443,22.8669E+06
