NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0398E-03,40.4700E-03,329.013,8.79347E+06
2,29.1267E-03,40.4700E-03,326.544,7.20813E+06
3,26.2136E-03,40.4700E-03,319.929,20.3214E+06
4,23.3007E-03,40.4700E-03,311.263,32.0272E+06
5,20.3878E-03,40.4700E-03,302.576,42.9513E+06
6,17.4751E-03,40.4700E-03,294.554,52.5785E+06
7,14.5624E-03,40.4700E-03,287.465,60.7976E+06
8,11.6498E-03,40.4700E-03,281.447,67.3126E+06
9,8.73730E-03,40.4700E-03,276.600,72.0099E+06
10,5.82484E-03,40.4700E-03,273.014,74.9828E+06
11,2.91241E-03,40.4700E-03,270.762,76.6460E+06
12,-275.710E-33,40.4700E-03,269.784,77.3866E+06
13,32.0400E-03,37.1324E-03,335.427,5.33845E+06
14,29.1267E-03,37.1323E-03,331.343,9.10006E+06
15,26.2136E-03,37.1324E-03,321.906,20.2590E+06
16,23.3006E-03,37.1325E-03,312.297,31.5974E+06
17,20.3878E-03,37.1326E-03,303.254,41.5956E+06
18,17.4750E-03,37.1327E-03,295.062,50.3364E+06
19,14.5624E-03,37.1328E-03,287.865,57.7497E+06
20,11.6498E-03,37.1329E-03,281.753,63.7955E+06
21,8.73727E-03,37.1330E-03,276.806,68.1433E+06
22,5.82481E-03,37.1331E-03,273.124,70.8991E+06
23,2.91239E-03,37.1331E-03,270.797,72.7556E+06
24,727.041E-36,37.1331E-03,269.782,73.2535E+06
25,32.0402E-03,33.7945E-03,362.053,1.77642E+06
26,29.1267E-03,33.7945E-03,340.074,12.3919E+06
27,26.2135E-03,33.7947E-03,325.828,21.9170E+06
28,23.3005E-03,33.7949E-03,314.552,30.2391E+06
29,20.3876E-03,33.7951E-03,304.775,37.8004E+06
30,17.4748E-03,33.7954E-03,296.197,43.4570E+06
31,14.5622E-03,33.7956E-03,288.750,48.2858E+06
32,11.6496E-03,33.7958E-03,282.367,52.4690E+06
33,8.73715E-03,33.7960E-03,277.109,56.2509E+06
34,5.82472E-03,33.7961E-03,273.072,59.2329E+06
35,2.91235E-03,33.7962E-03,270.480,61.5056E+06
36,1.65400E-33,33.7962E-03,269.350,63.0973E+06
37,32.0401E-03,30.4564E-03,370.203,5.26246E+06
38,29.1265E-03,30.4566E-03,343.741,18.0597E+06
39,26.2132E-03,30.4569E-03,329.104,26.3217E+06
40,23.3002E-03,30.4572E-03,317.092,31.6538E+06
41,20.3873E-03,30.4576E-03,306.744,36.3882E+06
42,17.4745E-03,30.4580E-03,297.723,39.2801E+06
43,14.5619E-03,30.4584E-03,290.045,40.7324E+06
44,11.6494E-03,30.4587E-03,283.515,41.6152E+06
45,8.73695E-03,30.4589E-03,277.324,44.5047E+06
46,5.82459E-03,30.4591E-03,272.408,49.0936E+06
47,2.91228E-03,30.4592E-03,269.361,52.1482E+06
48,2.56642E-36,30.4592E-03,268.056,54.5371E+06
