NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0435E-03,-4.01671E-03,341.006,1.36468E+06
2,29.1304E-03,-4.01657E-03,341.008,704.246E+03
3,26.2173E-03,-4.01649E-03,340.974,-2.23249E+06
4,23.3042E-03,-4.01645E-03,340.938,-910.534E+03
5,20.3911E-03,-4.01643E-03,340.890,1.47752E+06
6,17.4781E-03,-4.01643E-03,340.814,3.01556E+06
7,14.5651E-03,-4.01644E-03,340.699,3.80244E+06
8,11.6520E-03,-4.01645E-03,340.277,4.35447E+06
9,8.73901E-03,-4.01646E-03,339.584,5.03201E+06
10,5.82601E-03,-4.01647E-03,339.134,5.53660E+06
11,2.91300E-03,-4.01648E-03,339.028,5.70657E+06
12,-145.784E-42,-4.01648E-03,338.923,5.55373E+06
13,32.0433E-03,-7.35461E-03,336.830,2.14766E+06
14,29.1302E-03,-7.35447E-03,336.821,1.57337E+06
15,26.2172E-03,-7.35442E-03,336.798,2.70158E+06
16,23.3041E-03,-7.35440E-03,336.756,3.77383E+06
17,20.3911E-03,-7.35440E-03,336.694,4.24500E+06
18,17.4781E-03,-7.35441E-03,336.598,4.57420E+06
19,14.5651E-03,-7.35441E-03,336.431,4.71210E+06
20,11.6520E-03,-7.35442E-03,336.181,4.80732E+06
21,8.73902E-03,-7.35443E-03,335.885,5.10113E+06
22,5.82601E-03,-7.35444E-03,335.616,5.42278E+06
23,2.91301E-03,-7.35444E-03,335.443,5.53060E+06
24,-898.517E-39,-7.35444E-03,335.388,5.41968E+06
25,32.0431E-03,-10.6924E-03,331.857,6.29401E+06
26,29.1301E-03,-10.6923E-03,331.850,6.03149E+06
27,26.2171E-03,-10.6923E-03,331.826,10.3866E+06
28,23.3041E-03,-10.6923E-03,331.782,12.1034E+06
29,20.3911E-03,-10.6923E-03,331.715,12.7767E+06
30,17.4781E-03,-10.6923E-03,331.615,13.0895E+06
31,14.5651E-03,-10.6923E-03,331.477,13.4410E+06
32,11.6520E-03,-10.6923E-03,331.304,13.6837E+06
33,8.73903E-03,-10.6923E-03,331.116,13.8944E+06
34,5.82602E-03,-10.6923E-03,330.946,14.0585E+06
35,2.91301E-03,-10.6923E-03,330.827,14.1599E+06
36,-224.508E-39,-10.6923E-03,330.770,14.1786E+06
37,32.0430E-03,-14.0300E-03,326.109,8.42564E+06
38,29.1300E-03,-14.0300E-03,326.101,9.30409E+06
39,26.2170E-03,-14.0300E-03,326.077,14.6199E+06
40,23.3040E-03,-14.0300E-03,326.033,17.5109E+06
41,20.3911E-03,-14.0300E-03,325.966,19.2271E+06
42,17.4781E-03,-14.0300E-03,325.870,20.2890E+06
43,14.5650E-03,-14.0300E-03,325.744,21.0535E+06
44,11.6520E-03,-14.0300E-03,325.594,21.8777E+06
45,8.73903E-03,-14.0300E-03,325.437,22.3749E+06
46,5.82602E-03,-14.0300E-03,325.296,22.6594E+06
47,2.91301E-03,-14.0300E-03,325.197,22.8094E+06
48,-1.49369E-33,-14.0300E-03,325.151,22.8714E+06
