NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0722E-03,-4.00730E-03,548.819,717.867E+03
2,29.1564E-03,-4.00731E-03,548.718,1.62680E+06
3,26.2407E-03,-4.00735E-03,547.647,2.84013E+06
4,23.3250E-03,-4.00740E-03,546.088,3.86066E+06
5,20.4093E-03,-4.00745E-03,544.338,4.96672E+06
6,17.4936E-03,-4.00751E-03,542.643,6.06265E+06
7,14.5780E-03,-4.00757E-03,541.110,6.96172E+06
8,11.6623E-03,-4.00763E-03,539.738,7.69388E+06
9,8.74673E-03,-4.00768E-03,538.378,8.53135E+06
10,5.83114E-03,-4.00771E-03,537.285,9.32849E+06
11,2.91557E-03,-4.00774E-03,536.610,9.81148E+06
12,-2.64248E-36,-4.00775E-03,536.298,10.2599E+06
13,32.0722E-03,-7.34821E-03,548.158,287.160E+03
14,29.1564E-03,-7.34822E-03,547.897,1.10244E+06
15,26.2407E-03,-7.34825E-03,546.890,2.44297E+06
16,23.3250E-03,-7.34828E-03,545.402,3.95779E+06
17,20.4093E-03,-7.34832E-03,543.739,5.45075E+06
18,17.4937E-03,-7.34836E-03,542.104,6.87496E+06
19,14.5780E-03,-7.34840E-03,540.603,8.11208E+06
20,11.6624E-03,-7.34843E-03,539.272,9.15818E+06
21,8.74677E-03,-7.34846E-03,538.149,9.99403E+06
22,5.83117E-03,-7.34849E-03,537.270,10.6020E+06
23,2.91558E-03,-7.34850E-03,536.699,11.0893E+06
24,-4.30244E-33,-7.34851E-03,536.452,11.3750E+06
25,32.0722E-03,-10.6891E-03,547.539,479.082E+03
26,29.1565E-03,-10.6891E-03,547.205,1.36638E+06
27,26.2407E-03,-10.6891E-03,546.243,3.14750E+06
28,23.3250E-03,-10.6891E-03,544.828,5.10106E+06
29,20.4093E-03,-10.6892E-03,543.228,7.01260E+06
30,17.4937E-03,-10.6892E-03,541.642,8.78884E+06
31,14.5780E-03,-10.6892E-03,540.184,10.3812E+06
32,11.6624E-03,-10.6892E-03,538.913,11.7199E+06
33,8.74679E-03,-10.6892E-03,537.865,12.7400E+06
34,5.83118E-03,-10.6892E-03,537.074,13.4462E+06
35,2.91559E-03,-10.6893E-03,536.569,13.9701E+06
36,-1.25083E-33,-10.6893E-03,536.347,14.1709E+06
37,32.0722E-03,-14.0300E-03,546.940,657.901E+03
38,29.1565E-03,-14.0300E-03,546.756,1.45886E+06
39,26.2407E-03,-14.0300E-03,545.816,3.56272E+06
40,23.3250E-03,-14.0300E-03,544.431,5.68333E+06
41,20.4093E-03,-14.0300E-03,542.858,7.74062E+06
42,17.4937E-03,-14.0300E-03,541.292,9.65544E+06
43,14.5780E-03,-14.0300E-03,539.852,11.3548E+06
44,11.6624E-03,-14.0300E-03,538.600,12.7734E+06
45,8.74679E-03,-14.0300E-03,537.576,13.8705E+06
46,5.83119E-03,-14.0300E-03,536.808,14.6451E+06
47,2.91559E-03,-14.0300E-03,536.322,15.1266E+06
48,-853.225E-33,-14.0300E-03,536.110,15.3416E+06
