NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0651E-03,39.7047E-03,487.595,7.85522E+06
2,29.1501E-03,39.7047E-03,487.503,6.33597E+06
3,26.2351E-03,39.7047E-03,487.227,11.4752E+06
4,23.3201E-03,39.7047E-03,486.872,15.0034E+06
5,20.4051E-03,39.7047E-03,486.497,17.8411E+06
6,17.4900E-03,39.7047E-03,486.121,20.0709E+06
7,14.5750E-03,39.7047E-03,485.752,21.5678E+06
8,11.6600E-03,39.7047E-03,485.403,22.5193E+06
9,8.74501E-03,39.7047E-03,485.091,23.0869E+06
10,5.83001E-03,39.7047E-03,484.839,23.4030E+06
11,2.91500E-03,39.7047E-03,484.672,23.5614E+06
12,-4.48224E-33,39.7047E-03,484.597,23.6202E+06
13,32.0652E-03,36.3648E-03,493.115,5.70653E+06
14,29.1501E-03,36.3647E-03,492.902,4.40815E+06
15,26.2351E-03,36.3646E-03,492.549,8.66065E+06
16,23.3201E-03,36.3646E-03,492.170,11.0310E+06
17,20.4051E-03,36.3646E-03,491.786,12.4181E+06
18,17.4901E-03,36.3647E-03,491.402,13.3029E+06
19,14.5750E-03,36.3647E-03,491.020,13.9638E+06
20,11.6600E-03,36.3647E-03,490.647,14.5449E+06
21,8.74501E-03,36.3647E-03,490.304,15.0725E+06
22,5.83000E-03,36.3647E-03,490.023,15.4968E+06
23,2.91500E-03,36.3647E-03,489.837,15.7789E+06
24,1.39092E-36,36.3647E-03,489.751,15.8796E+06
25,32.0654E-03,33.0247E-03,498.338,1.56849E+06
26,29.1503E-03,33.0245E-03,497.652,1.52893E+06
27,26.2352E-03,33.0245E-03,497.190,2.36849E+06
28,23.3201E-03,33.0245E-03,496.782,3.65553E+06
29,20.4051E-03,33.0245E-03,496.391,4.36563E+06
30,17.4901E-03,33.0245E-03,496.006,4.86909E+06
31,14.5750E-03,33.0245E-03,495.596,5.35582E+06
32,11.6600E-03,33.0245E-03,495.147,5.99782E+06
33,8.74501E-03,33.0245E-03,494.699,6.81171E+06
34,5.83000E-03,33.0245E-03,494.321,7.62946E+06
35,2.91500E-03,33.0245E-03,494.081,8.17914E+06
36,7.33940E-36,33.0245E-03,493.996,8.14758E+06
37,32.0656E-03,29.6845E-03,502.167,1.29829E+06
38,29.1504E-03,29.6843E-03,501.509,1.08384E+06
39,26.2353E-03,29.6843E-03,501.080,-1.54163E+06
40,23.3202E-03,29.6842E-03,500.676,-1.09211E+06
41,20.4051E-03,29.6842E-03,500.297,1.51311E+06
42,17.4901E-03,29.6842E-03,499.932,3.28422E+06
43,14.5750E-03,29.6843E-03,499.570,4.53331E+06
44,11.6600E-03,29.6843E-03,498.967,5.68176E+06
45,8.74500E-03,29.6843E-03,498.130,6.84485E+06
46,5.82999E-03,29.6843E-03,497.566,7.82764E+06
47,2.91500E-03,29.6843E-03,497.393,8.45448E+06
48,-34.8324E-39,29.6843E-03,497.268,8.26857E+06
