NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0699E-03,-4.00787E-03,536.919,1.31421E+06
2,29.1543E-03,-4.00791E-03,536.007,3.06518E+06
3,26.2387E-03,-4.00798E-03,533.864,5.43359E+06
4,23.3231E-03,-4.00807E-03,531.033,7.39457E+06
5,20.4076E-03,-4.00817E-03,527.945,9.39197E+06
6,17.4921E-03,-4.00828E-03,524.977,11.2269E+06
7,14.5767E-03,-4.00839E-03,522.285,12.6868E+06
8,11.6613E-03,-4.00849E-03,519.853,13.8642E+06
9,8.74593E-03,-4.00857E-03,517.412,15.3464E+06
10,5.83060E-03,-4.00863E-03,515.430,16.8229E+06
11,2.91529E-03,-4.00867E-03,514.188,17.7064E+06
12,-1.35571E-36,-4.00870E-03,513.615,18.6562E+06
13,32.0699E-03,-7.34861E-03,535.431,504.755E+03
14,29.1543E-03,-7.34863E-03,534.653,2.09715E+06
15,26.2387E-03,-7.34867E-03,532.681,4.65614E+06
16,23.3232E-03,-7.34873E-03,529.974,7.40657E+06
17,20.4077E-03,-7.34880E-03,527.032,10.0827E+06
18,17.4922E-03,-7.34887E-03,524.160,12.5510E+06
19,14.5768E-03,-7.34895E-03,521.515,14.7261E+06
20,11.6614E-03,-7.34901E-03,519.143,16.6195E+06
21,8.74600E-03,-7.34907E-03,517.118,18.1550E+06
22,5.83065E-03,-7.34911E-03,515.519,19.2967E+06
23,2.91532E-03,-7.34913E-03,514.473,20.2433E+06
24,-3.70230E-33,-7.34914E-03,514.018,20.7837E+06
25,32.0699E-03,-10.6893E-03,534.170,778.447E+03
26,29.1543E-03,-10.6893E-03,533.523,2.42574E+06
27,26.2388E-03,-10.6893E-03,531.693,5.53901E+06
28,23.3232E-03,-10.6894E-03,529.138,8.93747E+06
29,20.4077E-03,-10.6894E-03,526.308,12.2792E+06
30,17.4923E-03,-10.6894E-03,523.518,15.4127E+06
31,14.5768E-03,-10.6895E-03,520.940,18.2449E+06
32,11.6614E-03,-10.6895E-03,518.670,20.6472E+06
33,8.74604E-03,-10.6895E-03,516.778,22.4922E+06
34,5.83068E-03,-10.6896E-03,515.336,23.7775E+06
35,2.91533E-03,-10.6896E-03,514.410,24.7281E+06
36,-1.07636E-33,-10.6896E-03,514.001,25.0872E+06
37,32.0699E-03,-14.0300E-03,533.654,1.01024E+06
38,29.1543E-03,-14.0300E-03,532.912,2.52711E+06
39,26.2388E-03,-14.0300E-03,531.141,6.06133E+06
40,23.3232E-03,-14.0300E-03,528.648,9.67263E+06
41,20.4077E-03,-14.0300E-03,525.867,13.2286E+06
42,17.4923E-03,-14.0300E-03,523.111,16.5848E+06
43,14.5768E-03,-14.0300E-03,520.564,19.6022E+06
44,11.6614E-03,-14.0300E-03,518.327,22.1458E+06
45,8.74605E-03,-14.0300E-03,516.476,24.1264E+06
46,5.83069E-03,-14.0300E-03,515.076,25.5290E+06
47,2.91534E-03,-14.0300E-03,514.183,26.4009E+06
48,-728.357E-33,-14.0300E-03,513.792,26.7879E+06
